               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.027816,            0.030617,          0.00087986,             0.74912,             0.75856,              0.7536,             0.43532,            0.034757,             0.10859,          0.00081125,           0.0090031,           0.0090031,           0.0090031
                 110,            0.029148,            0.031996,          0.00094938,             0.82787,             0.83732,             0.82811,             0.50135,            0.032698,             0.10862,          0.00069647,           0.0089853,           0.0089853,           0.0089853
                 111,            0.028326,             0.03706,          0.00085295,             0.79998,             0.77942,              0.7713,             0.43303,             0.03372,             0.10857,           0.0010167,           0.0089673,           0.0089673,           0.0089673
                 112,            0.028303,               0.032,          0.00088424,             0.85255,             0.87691,             0.85873,             0.49802,             0.03119,             0.10198,          0.00064753,           0.0089492,           0.0089492,           0.0089492
                 113,            0.027537,            0.032741,          0.00094693,             0.73351,             0.73216,             0.72437,             0.43707,            0.033824,             0.10933,           0.0011596,            0.008931,            0.008931,            0.008931
                 114,            0.028885,             0.03626,          0.00094244,             0.81802,             0.88069,             0.85293,              0.4901,            0.030592,             0.10384,          0.00070849,           0.0089126,           0.0089126,           0.0089126
                 115,            0.030093,            0.034684,           0.0012806,             0.84998,             0.86929,             0.85504,             0.50137,            0.030424,             0.10463,           0.0007145,           0.0088941,           0.0088941,           0.0088941
                 116,            0.028653,            0.039311,          0.00091065,             0.79538,             0.77156,             0.76953,             0.47464,            0.033235,             0.10939,           0.0011134,           0.0088755,           0.0088755,           0.0088755
                 117,            0.029085,            0.032289,          0.00083248,             0.80365,             0.76535,             0.76903,             0.46859,            0.029955,             0.10044,          0.00071879,           0.0088567,           0.0088567,           0.0088567
                 118,            0.026043,            0.031905,          0.00086348,             0.73875,             0.65474,             0.67017,             0.41015,            0.037727,             0.11605,           0.0018181,           0.0088378,           0.0088378,           0.0088378
                 119,            0.028717,            0.048071,          0.00090016,             0.75699,             0.70346,             0.72548,             0.46404,            0.030354,             0.10574,           0.0011651,           0.0088188,           0.0088188,           0.0088188
                 120,            0.028465,            0.042888,          0.00080735,             0.88974,             0.79592,             0.84271,             0.49601,            0.031531,             0.10027,          0.00077096,           0.0087996,           0.0087996,           0.0087996
                 121,            0.029393,            0.041456,           0.0013688,             0.80866,             0.78024,             0.78432,             0.47737,             0.02997,             0.11126,           0.0010898,           0.0087804,           0.0087804,           0.0087804
                 122,            0.026208,            0.031381,          0.00081995,             0.79983,             0.79995,               0.801,             0.48318,            0.028149,            0.097741,          0.00065018,           0.0087609,           0.0087609,           0.0087609
                 123,            0.026717,            0.032001,          0.00080526,             0.81831,             0.81615,             0.81902,             0.50605,            0.028284,             0.10371,           0.0007182,           0.0087414,           0.0087414,           0.0087414
                 124,            0.025252,            0.032379,          0.00077701,             0.83159,             0.75986,             0.78222,             0.43742,            0.029903,             0.10486,          0.00064703,           0.0087217,           0.0087217,           0.0087217
                 125,            0.025754,            0.033391,          0.00087058,             0.85869,             0.82918,             0.82985,             0.47463,            0.030746,             0.10236,          0.00062705,           0.0087019,           0.0087019,           0.0087019
                 126,            0.027219,            0.030094,          0.00085283,             0.79216,             0.80581,             0.80125,             0.45091,            0.033677,             0.10384,          0.00061396,            0.008682,            0.008682,            0.008682
                 127,            0.026624,             0.03254,          0.00075445,             0.82034,             0.84013,              0.8335,             0.49327,            0.031413,             0.10161,          0.00065656,           0.0086619,           0.0086619,           0.0086619
                 128,            0.026543,             0.03172,          0.00093235,             0.84242,             0.81959,             0.82931,             0.51378,            0.028887,             0.10108,            0.000583,           0.0086417,           0.0086417,           0.0086417
                 129,            0.027781,            0.034315,          0.00081401,             0.86711,              0.7964,              0.8212,             0.47655,            0.031018,             0.11216,           0.0010695,           0.0086214,           0.0086214,           0.0086214
                 130,            0.028549,            0.033566,          0.00097874,              0.7798,             0.73735,             0.74792,             0.47555,            0.030532,             0.10856,           0.0017005,            0.008601,            0.008601,            0.008601
                 131,            0.025894,            0.034608,          0.00084437,             0.77583,             0.83572,             0.79202,             0.48147,             0.03079,             0.10742,           0.0011186,           0.0085805,           0.0085805,           0.0085805
                 132,            0.029689,            0.035444,           0.0030524,             0.78447,             0.77732,             0.77169,             0.47629,            0.031308,             0.10383,           0.0010935,           0.0085598,           0.0085598,           0.0085598
                 133,            0.025174,            0.031274,          0.00073287,             0.78274,             0.70514,             0.72756,             0.45798,            0.032124,             0.11175,           0.0015238,            0.008539,            0.008539,            0.008539
                 134,            0.027482,            0.030766,          0.00077407,             0.83793,             0.81812,             0.81423,               0.461,             0.03244,             0.10803,           0.0010014,           0.0085181,           0.0085181,           0.0085181
                 135,            0.026532,            0.030647,          0.00075142,              0.8426,             0.81295,             0.83203,             0.47419,            0.029906,             0.10333,           0.0006121,           0.0084971,           0.0084971,           0.0084971
